ProjectID,Project-Number,Name,Address,Geometry,LocationJSON
85216,18-054,PAR 1244,"5950 York St, Denver, CO 80216, USA","{""location"":{""lat"":39.805279,""lng"":-104.958759},""viewport"":{""east"":-104.9576728197085,""north"":39.8066329802915,""south"":39.8039350197085,""west"":-104.9603707802915}}","{""Street1"":""5950 York St"",""Street2"":null,""City"":""Denver"",""State"":""CO"",""Zip"":""80216"",""Country"":""USA"",""GooglePlaceID"":""ChIJPYAhr-t5bIcR9x-Dourt6BM"",""CityStateString"":""Denver, CO"",""Address_HTML"":""<span class=\""street-address\"">5950 York St</span>, <span class=\""locality\"">Denver</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80216</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""5950 York St, Denver, CO 80216, USA"",""Address_Vicinity"":""Denver"",""DistanceToHME"":""{\""DistanceMeters\"":865917,\""DistanceMiles\"":538.0572160015907,\""DistanceText\"":\""538 mi\"",\""DurationDays\"":0.9627430555555556,\""DurationMinutes\"":462.1166666666667,\""DurationSeconds\"":27727,\""DurationText\"":\""7 hours 42 mins\"",\""TransitDurationText\"":\""7 hours, 41 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.805279,\""lng\"":-104.958759},\""viewport\"":{\""east\"":-104.9576728197085,\""north\"":39.8066329802915,\""south\"":39.8039350197085,\""west\"":-104.9603707802915}}""}"
87261,18-121,SECURITY SANITATION WWTF IMPROVEMENTS,"6510 Southmoor Dr, Fountain, CO 80817, USA","{""location"":{""lat"":38.736055,""lng"":-104.73794900000001},""viewport"":{""east"":-104.73519499999998,""north"":38.7379122302915,""south"":38.7352142697085,""west"":-104.73886700000003}}","{""Street1"":""6510 Southmoor Dr"",""Street2"":null,""City"":""Fountain"",""State"":""CO"",""Zip"":""80817-1045"",""Country"":""USA"",""GooglePlaceID"":""ChIJD2Ah-ZJBE4cRqyATJnTcj0Y"",""CityStateString"":""Fountain, CO"",""Address_HTML"":""<span class=\""street-address\"">6510 Southmoor Dr</span>, <span class=\""locality\"">Fountain</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80817-1045</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""6510 Southmoor Dr, Fountain, CO 80817, USA"",""Address_Vicinity"":""Fountain"",""DistanceToHME"":""{\""DistanceMeters\"":847489,\""DistanceMiles\"":526.6065592106081,\""DistanceText\"":\""527 mi\"",\""DurationDays\"":0.9523263888888889,\""DurationMinutes\"":457.1166666666667,\""DurationSeconds\"":27427,\""DurationText\"":\""7 hours 37 mins\"",\""TransitDurationText\"":\""7 hours, 36 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":38.736055,\""lng\"":-104.73794900000001},\""viewport\"":{\""east\"":-104.73519499999998,\""north\"":38.7379122302915,\""south\"":38.7352142697085,\""west\"":-104.73886700000003}}""}"
87538,18-145,WESTERN CURRENCY FACILITY EXPANSION,"8776 Blue Mound Rd, Fort Worth, TX 76131, USA","{""location"":{""lat"":32.8943727,""lng"":-97.34863329999996},""viewport"":{""east"":-97.34728431970848,""north"":32.89572168029149,""south"":32.8930237197085,""west"":-97.3499822802915}}","{""Street1"":""8776 Blue Mound Rd"",""Street2"":null,""City"":""Fort Worth"",""State"":""TX"",""Zip"":""76131-3304"",""Country"":""USA"",""GooglePlaceID"":""Ei04Nzc2IEJsdWUgTW91bmQgUmQsIEZvcnQgV29ydGgsIFRYIDc2MTMxLCBVU0EiMRIvChQKEgllJcuDzdhNhhG_bI5WoISMLhDIRCoUChIJZ12UYCrZTYYRmB9LKI2AOQs"",""CityStateString"":""Fort Worth, TX"",""Address_HTML"":""<span class=\""street-address\"">8776 Blue Mound Rd</span>, <span class=\""locality\"">Fort Worth</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">76131-3304</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""8776 Blue Mound Rd, Fort Worth, TX 76131, USA"",""Address_Vicinity"":""Fort Worth"",""DistanceToHME"":""{\""DistanceMeters\"":788571,\""DistanceMiles\"":489.99652031267476,\""DistanceText\"":\""490 mi\"",\""DurationDays\"":0.8803819444444444,\""DurationMinutes\"":422.5833333333333,\""DurationSeconds\"":25355,\""DurationText\"":\""7 hours 3 mins\"",\""TransitDurationText\"":\""7 hours, 3 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":32.8943727,\""lng\"":-97.34863329999996},\""viewport\"":{\""east\"":-97.34728431970848,\""north\"":32.89572168029149,\""south\"":32.8930237197085,\""west\"":-97.3499822802915}}""}"
87544,18-147,BID PACKAGE 4.3 - LEONARD WTP YARD PIPE,"361 Co Rd 4965, Leonard, TX 75452, USA","{""location"":{""lat"":33.383391,""lng"":-96.28256390000001},""viewport"":{""east"":-96.28121491970853,""north"":33.38473998029149,""south"":33.3820420197085,""west"":-96.2839128802915}}","{""Street1"":""361 Co Rd 4965"",""Street2"":null,""City"":""Leonard"",""State"":""TX"",""Zip"":""75452-4938"",""Country"":""USA"",""GooglePlaceID"":""ChIJZboDq4mOS4YRJxP25CVOblw"",""CityStateString"":""Leonard, TX"",""Address_HTML"":""<span class=\""street-address\"">361 Co Rd 4965</span>, <span class=\""locality\"">Leonard</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">75452-4938</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""361 Co Rd 4965, Leonard, TX 75452, USA"",""Address_Vicinity"":""Leonard"",""DistanceToHME"":""{\""DistanceMeters\"":797289,\""DistanceMiles\"":495.4136478307878,\""DistanceText\"":\""495 mi\"",\""DurationDays\"":0.9092708333333334,\""DurationMinutes\"":436.45,\""DurationSeconds\"":26187,\""DurationText\"":\""7 hours 16 mins\"",\""TransitDurationText\"":\""7 hours, 17 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":33.383391,\""lng\"":-96.28256390000001},\""viewport\"":{\""east\"":-96.28121491970853,\""north\"":33.38473998029149,\""south\"":33.3820420197085,\""west\"":-96.2839128802915}}""}"
88609,19-040,SADDLE CREEK RTB,"2520 S 64th St, Omaha, NE 68106, USA","{""location"":{""lat"":41.2404302,""lng"":-96.011843},""viewport"":{""east"":-96.01049401970852,""north"":41.2417791802915,""south"":41.2390812197085,""west"":-96.01319198029148}}","{""Street1"":""2520 S 64th St"",""Street2"":null,""City"":""Omaha"",""State"":""NE"",""Zip"":""68106"",""Country"":""USA"",""GooglePlaceID"":""EiQyNTIwIFMgNjR0aCBTdCwgT21haGEsIE5FIDY4MTA2LCBVU0EiMRIvChQKEgln62Q5TIyThxG9Pmp3wdLsCBDYEyoUChIJx3nrWEyMk4cRQAT_1FHRb3g"",""CityStateString"":""Omaha, NE"",""Address_HTML"":""<span class=\""street-address\"">2520 S 64th St</span>, <span class=\""locality\"">Omaha</span>, <span class=\""region\"">NE</span> <span class=\""postal-code\"">68106</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""2520 S 64th St, Omaha, NE 68106, USA"",""Address_Vicinity"":""Omaha"",""DistanceToHME"":""{\""DistanceMeters\"":253226,\""DistanceMiles\"":157.34773261088398,\""DistanceText\"":\""157 mi\"",\""DurationDays\"":0.32680555555555557,\""DurationMinutes\"":156.86666666666667,\""DurationSeconds\"":9412,\""DurationText\"":\""2 hours 37 mins\"",\""TransitDurationText\"":\""2 hours, 39 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":41.2404302,\""lng\"":-96.011843},\""viewport\"":{\""east\"":-96.01049401970852,\""north\"":41.2417791802915,\""south\"":41.2390812197085,\""west\"":-96.01319198029148}}""}"
88815,19-048,MARCY GULCH WWTP,"8700 US-85, Highlands Ranch, CO 80126, USA","{""location"":{""lat"":39.55690000000001,""lng"":-105.03353500000003},""viewport"":{""east"":-105.03233511970848,""north"":39.5579904802915,""south"":39.5552925197085,""west"":-105.0350330802915}}","{""Street1"":""8700 US-85"",""Street2"":null,""City"":""Highlands Ranch"",""State"":""CO"",""Zip"":""80126"",""Country"":""USA"",""GooglePlaceID"":""ChIJeZGVPvZ9a4cRtz8cUOa3L20"",""CityStateString"":""Highlands Ranch, CO"",""Address_HTML"":""<span class=\""street-address\"">8700 US-85</span>, <span class=\""locality\"">Highlands Ranch</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80126</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""8700 US-85, Highlands Ranch, CO 80126, USA"",""Address_Vicinity"":""Highlands Ranch"",""DistanceToHME"":""{\""DistanceMeters\"":888244,\""DistanceMiles\"":551.930605092771,\""DistanceText\"":\""552 mi\"",\""DurationDays\"":0.976388888888889,\""DurationMinutes\"":468.6666666666667,\""DurationSeconds\"":28120,\""DurationText\"":\""7 hours 49 mins\"",\""TransitDurationText\"":\""7 hours, 51 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.55690000000001,\""lng\"":-105.03353500000003},\""viewport\"":{\""east\"":-105.03233511970848,\""north\"":39.5579904802915,\""south\"":39.5552925197085,\""west\"":-105.0350330802915}}""}"
100159,19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,"3575 S Terminal Rd, Houston, TX 77032, USA","{""location"":{""lat"":29.98596229999999,""lng"":-95.33682160000001},""viewport"":{""east"":-95.33547261970853,""north"":29.98731128029149,""south"":29.98461331970849,""west"":-95.33817058029149}}","{""Street1"":""3575 S Terminal Rd"",""Street2"":null,""City"":""Houston"",""State"":""TX"",""Zip"":""77032"",""Country"":""USA"",""GooglePlaceID"":""EiozNTc1IFMgVGVybWluYWwgUmQsIEhvdXN0b24sIFRYIDc3MDMyLCBVU0EiMRIvChQKEgkV21DKRrRAhhF2X3xC5B9yoxD3GyoUChIJ4SRvNkG0QIYR0899wioJHGc"",""CityStateString"":""Houston, TX"",""Address_HTML"":""<span class=\""street-address\"">3575 S Terminal Rd</span>, <span class=\""locality\"">Houston</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">77032</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""3575 S Terminal Rd, Houston, TX 77032, USA"",""Address_Vicinity"":""Houston"",""DistanceToHME"":""{\""DistanceMeters\"":1185046,\""DistanceMiles\"":736.3552760759069,\""DistanceText\"":\""736 mi\"",\""DurationDays\"":1.323298611111111,\""DurationMinutes\"":635.1833333333333,\""DurationSeconds\"":38111,\""DurationText\"":\""10 hours 35 mins\"",\""TransitDurationText\"":\""1 day, 2 hours, 34 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":29.98596229999999,\""lng\"":-95.33682160000001},\""viewport\"":{\""east\"":-95.33547261970853,\""north\"":29.98731128029149,\""south\"":29.98461331970849,\""west\"":-95.33817058029149}}""}"
101035,19-173,NORTHWATER RAPID MIX/FLOC/SED,"6949 CO-93, Golden, CO 80403, USA","{""location"":{""lat"":39.8180911,""lng"":-105.2217388},""viewport"":{""east"":-105.2203898197085,""north"":39.8194400802915,""south"":39.8167421197085,""west"":-105.2230877802915}}","{""Street1"":""6949 CO-93"",""Street2"":null,""City"":""Golden"",""State"":""CO"",""Zip"":""80403"",""Country"":""USA"",""GooglePlaceID"":""EiE2OTQ5IENPLTkzLCBHb2xkZW4sIENPIDgwNDAzLCBVU0EiMRIvChQKEgm9lGd3KJBrhxH0-LXXbzh6oBClNioUChIJGyW9Z0eSa4cRrD8TyICCuxc"",""CityStateString"":""Golden, CO"",""Address_HTML"":""<span class=\""street-address\"">6949 CO-93</span>, <span class=\""locality\"">Golden</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80403</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""6949 CO-93, Golden, CO 80403, USA"",""Address_Vicinity"":""Golden"",""DistanceToHME"":""{\""DistanceMeters\"":889624,\""DistanceMiles\"":552.7880994693477,\""DistanceText\"":\""553 mi\"",\""DurationDays\"":0.9992361111111111,\""DurationMinutes\"":479.6333333333333,\""DurationSeconds\"":28778,\""DurationText\"":\""8 hours 0 mins\"",\""TransitDurationText\"":\""8 hours\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.8180911,\""lng\"":-105.2217388},\""viewport\"":{\""east\"":-105.2203898197085,\""north\"":39.8194400802915,\""south\"":39.8167421197085,\""west\"":-105.2230877802915}}""}"
109679,20-026,Project MP-18002/19003 Elevated Tanks Water One,"19770 S Lackman Rd, Spring Hill, KS 66083, USA","{""location"":{""lat"":38.769805,""lng"":-94.761545},""viewport"":{""east"":-94.75963156970849,""north"":38.7711606302915,""south"":38.76846266970851,""west"":-94.7623295302915}}","{""Street1"":""19770 S Lackman Rd"",""Street2"":null,""City"":""Spring Hill"",""State"":""KS"",""Zip"":""66083"",""Country"":""USA"",""GooglePlaceID"":""ChIJV3TLdfm4wIcRkiBT0HtMyBA"",""CityStateString"":""Spring Hill, KS"",""Address_HTML"":""<span class=\""street-address\"">19770 S Lackman Rd</span>, <span class=\""locality\"">Spring Hill</span>, <span class=\""region\"">KS</span> <span class=\""postal-code\"">66083</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""19770 S Lackman Rd, Spring Hill, KS 66083, USA"",""Address_Vicinity"":""Spring Hill"",""DistanceToHME"":""{\""DistanceMeters\"":116485,\""DistanceMiles\"":72.38060322865275,\""DistanceText\"":\""72.4 mi\"",\""DurationDays\"":0.166875,\""DurationMinutes\"":80.1,\""DurationSeconds\"":4806,\""DurationText\"":\""1 hour 20 mins\"",\""TransitDurationText\"":\""1 hour, 22 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":38.769805,\""lng\"":-94.761545},\""viewport\"":{\""east\"":-94.75963156970849,\""north\"":38.7711606302915,\""south\"":38.76846266970851,\""west\"":-94.7623295302915}}""}"
112788,20-133,WWTP Improvements - Tahlequah,"1410 E Powell Rd, Tahlequah, OK 74464, USA","{""location"":{""lat"":35.892527,""lng"":-94.954679},""viewport"":{""east"":-94.95333001970849,""north"":35.8938759802915,""south"":35.8911780197085,""west"":-94.95602798029151}}","{""Street1"":""1410 E Powell Rd"",""Street2"":null,""City"":""Tahlequah"",""State"":""OK"",""Zip"":""74464"",""Country"":""USA"",""GooglePlaceID"":""EioxNDEwIEUgUG93ZWxsIFJkLCBUYWhsZXF1YWgsIE9LIDc0NDY0LCBVU0EiMRIvChQKEgndtJb2ZvnJhxGNCehmC7A0IRCCCyoUChIJwfUmUVz5yYcRx35y_ZS6zp4"",""CityStateString"":""Tahlequah, OK"",""Address_HTML"":""<span class=\""street-address\"">1410 E Powell Rd</span>, <span class=\""locality\"">Tahlequah</span>, <span class=\""region\"">OK</span> <span class=\""postal-code\"">74464</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""1410 E Powell Rd, Tahlequah, OK 74464, USA"",""Address_Vicinity"":""Tahlequah"",""DistanceToHME"":""{\""DistanceMeters\"":441462,\""DistanceMiles\"":274.312451066897,\""DistanceText\"":\""274 mi\"",\""DurationDays\"":0.5985763888888889,\""DurationMinutes\"":287.31666666666666,\""DurationSeconds\"":17239,\""DurationText\"":\""4 hours 47 mins\"",\""TransitDurationText\"":\""4 hours, 48 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":35.892527,\""lng\"":-94.954679},\""viewport\"":{\""east\"":-94.95333001970849,\""north\"":35.8938759802915,\""south\"":35.8911780197085,\""west\"":-94.95602798029151}}""}"
