Project-Number,Name,Address,Lat,Lng,Weather_Category,Color,Temperature_F,Windspeed_mph
18-054,PAR 1244,"5950 York St, Denver, CO 80216, USA",39.805279,-104.958759,Cold but Good Weather,Blue,28,6
18-121,SECURITY SANITATION WWTF IMPROVEMENTS,"6510 Southmoor Dr, Fountain, CO 80817, USA",38.736055,-104.73794900000001,Snow,Red,30,7
18-145,WESTERN CURRENCY FACILITY EXPANSION,"8776 Blue Mound Rd, Fort Worth, TX 76131, USA",32.8943727,-97.34863329999996,Rain,Red,52,8
18-147,BID PACKAGE 4.3 - LEONARD WTP YARD PIPE,"361 Co Rd 4965, Leonard, TX 75452, USA",33.383391,-96.28256390000001,Good Weather,Green,48,9
19-040,SADDLE CREEK RTB,"2520 S 64th St, Omaha, NE 68106, USA",41.2404302,-96.011843,Cold but Good Weather,Blue,31,8
19-048,MARCY GULCH WWTP,"8700 US-85, Highlands Ranch, CO 80126, USA",39.55690000000001,-105.03353500000003,Cold but Good Weather,Blue,28,3
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,"3575 S Terminal Rd, Houston, TX 77032, USA",29.98596229999999,-95.33682160000001,Good Weather,Green,55,12
19-173,NORTHWATER RAPID MIX/FLOC/SED,"6949 CO-93, Golden, CO 80403, USA",39.8180911,-105.2217388,Cold but Good Weather,Blue,27,6
20-026,Project MP-18002/19003 Elevated Tanks Water One,"19770 S Lackman Rd, Spring Hill, KS 66083, USA",38.769805,-94.761545,Cold but Good Weather,Blue,30,8
20-133,WWTP Improvements - Tahlequah,"1410 E Powell Rd, Tahlequah, OK 74464, USA",35.892527,-94.954679,Good Weather,Green,38,10
20-134,Erie North Water Reclamation Facility,"501 State Hwy 52, Erie, CO 80516, USA",40.0876404,-105.0454163,Cold but Good Weather,Blue,27,0
20-137,Sister Grove 2.30 Dewatering Pkg.,"3360 FM2933, McKinney, TX 75071, USA",33.23189719999999,-96.56158099999999,Good Weather,Green,51,9
20-138,Sister Grove 2.10 - Yard Pipe,"3360 FM2933, McKinney, TX 75071, USA",33.23189719999999,-96.56158099999999,Good Weather,Green,51,9
20-140,South Mesquite Creek,"3500 Lawson Rd, Mesquite, TX 75181, USA",32.7161822,-96.5482324,Good Weather,Green,53,8
20-143,Lake Georgetown Chemical Feed System,"2050 Cedar Breaks Rd, Georgetown, TX 78628, USA",30.6662738,-97.7383673,Rain,Red,52,5
20-156,Goose Pasture Tarn Dam Rehabilitation,"271 Lakeshore Loop, Blue River, CO 80424, USA",39.45540199999999,-106.032505,Snow,Red,17,4
20-175,Armourdale  Unit and CID Unit Pump Station Modifications,"Levee Rd, Kansas City, KS, USA",39.0890506,-94.66471779999999,Good Weather,Green,32,7
20-187,Sister Grove 1.40 - Headworks,"3360 FM2933, McKinney, TX 75071, USA",33.2330941,-96.5751391,Good Weather,Green,51,9
21-015,Solids Dewatering Improvements Northeast WRRF,"7000 N 70th St, Lincoln, NE 68507, USA",40.8825955,-96.62324219999999,Cold but Good Weather,Blue,31,9
21-016,Wichita NWWTP Package 006 Filter Bldg. Embeds,"5211 W 21st St N, Wichita, KS 67205, USA",37.7233663,-97.4044747,Good Weather,Green,34,14
21-030,Northwater Bid Pkg 22 - Moffat WTP Mods,"6949 CO-93, Golden, CO 80403, USA",39.8180631,-105.2217381,Cold but Good Weather,Blue,27,6
21-046,Bioscience 5,"2200 Racine St, Aurora, CO 80011, USA",39.7492871,-104.8433647,Snow,Red,27,3
21-052,Sister Grove 4.10 Solids Handling,"3360 FM2933, McKinney, TX 75071, USA",33.2330941,-96.5751391,Good Weather,Green,51,9
21-053,Allison WWTP Lift Station & Plant Improvements,"4104 Allison Rd, Corpus Christi, TX 78410, USA",27.8556648,-97.5656173,Good Weather,Green,64,6
21-070,(921-231) WWTP Expansion & Reuse Pump Station,"1801 Park Blvd, Cleburne, TX 76033, USA",32.3140571,-97.3939319,Good Weather,Green,52,8
21-071,"Wastewater Treatment Facility Improvements - Perry, IA","Ivy Pl, Perry, IA 50220, USA",41.8287612,-94.1109504,Cold but Good Weather,Blue,26,5
21-079,Hefner WTP Lime System Improvements,"3827 W Hefner Rd, Oklahoma City, OK 73120, USA",35.58301859999999,-97.58944,Good Weather,Green,45,7
21-081,Raw Water Infrastructure & Groundwater Treatment Plant PH 1B,"362 Wolf Run Rd, Rosanky, TX 78953, USA",29.788553,-97.40075739999999,Good Weather,Green,53,9
21-089,City of Early Water Treatment Facility,"103 Karr Ave, Early, IA 50535, USA",42.4604627,-95.14769919999999,Cold but Good Weather,Blue,27,8
21-098,Sister Grove Outfall Structure,"McKinney, TX, USA",33.1983388,-96.6389342,Good Weather,Green,51,9
21-104,Boeing MQ-25 Production Facility MAB/CUP,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
21-105,BOEING MQ-25 PRODUCTION FACILITY TRUCK INSPECTION,"8929 State Rte 4, Mascoutah, IL 62258, USA",38.5330677,-89.7946199,Cold but Good Weather,Blue,30,0
