Project-Number,Name,Lat,Lng,Weather_Date,Weather_Type
18-054,PAR 1244,39.805279,-104.958759,2024-01-05 06:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-05 09:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-05 12:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-05 15:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-05 18:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-06 06:00:00,Snow
18-054,PAR 1244,39.805279,-104.958759,2024-01-06 09:00:00,Snow
18-054,PAR 1244,39.805279,-104.958759,2024-01-06 12:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-06 15:00:00,High Wind
18-054,PAR 1244,39.805279,-104.958759,2024-01-06 18:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-07 06:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-07 09:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-07 12:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-07 15:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-07 18:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-08 06:00:00,Snow
18-054,PAR 1244,39.805279,-104.958759,2024-01-08 09:00:00,Snow
18-054,PAR 1244,39.805279,-104.958759,2024-01-08 12:00:00,Snow
18-054,PAR 1244,39.805279,-104.958759,2024-01-08 15:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-08 18:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-09 06:00:00,Extreme Low Temperature
18-054,PAR 1244,39.805279,-104.958759,2024-01-09 09:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-09 12:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-09 15:00:00,good weather
18-054,PAR 1244,39.805279,-104.958759,2024-01-09 18:00:00,good weather
18-121,SECURITY SANITATION WWTF IMPROVEMENTS,38.736055,-104.73794900000001,2024-01-05 06:00:00,good weather
